Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,30,636,30,18,21.2,3.3,6.8,.488,0.1,0.4,.250,3.2,6.4,.503,2.0,2.2,.909,1.6,5.2,1.6,0.6,0.7,1.0,2.6,8.7
Kayla Alexander,CHI,C,3,20,3,0,6.7,1.0,1.3,.750,0.0,0.0,,1.0,1.3,.750,1.0,1.3,.750,0.7,2.3,0.3,0.0,0.0,0.3,1.0,3.0
Rebecca Allen,NYL,G,24,412,24,2,17.2,2.7,6.5,.417,1.2,2.8,.426,1.5,3.7,.409,0.5,0.7,.813,0.5,2.5,0.7,0.5,0.8,0.7,2.1,7.2
Jillian Alleyne,MIN,C-F,5,14,5,0,2.8,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,0.0,0.0,,0.4,1.0,0.2,0.0,0.2,0.0,0.0,0.8
Ariel Atkins,WAS,G,33,804,33,33,24.4,3.7,9.0,.416,1.5,4.3,.357,2.2,4.6,.471,1.3,1.6,.811,0.7,2.8,2.0,1.5,0.5,1.0,2.2,10.3
Seimone Augustus,MIN,G-F,12,156,12,7,13.0,1.7,5.3,.313,0.2,1.0,.167,1.5,4.3,.346,0.3,0.3,.750,0.2,0.6,1.3,0.4,0.1,1.0,0.4,3.8
Rachel Banham,CON,G,29,353,29,0,12.2,1.3,4.0,.322,0.8,2.5,.306,0.5,1.5,.349,0.3,0.4,.692,0.0,1.0,0.9,0.3,0.1,0.9,1.2,3.6
Alana Beard,LAS,G-F,16,235,16,3,14.7,1.4,3.1,.449,0.1,0.3,.200,1.3,2.8,.477,0.4,0.6,.778,0.1,1.5,1.4,0.8,0.2,0.6,1.3,3.3
Kenisha Bell,MIN,G,3,11,3,0,3.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.0
Alex Bentley,ATL,G,29,634,29,4,21.9,3.4,11.1,.307,1.1,4.7,.235,2.3,6.4,.358,1.0,1.2,.857,0.3,1.9,3.0,0.7,0.3,1.5,1.9,9.0
Tiffany Bias,NYL,G,12,105,12,0,8.8,0.6,2.3,.250,0.3,1.6,.158,0.3,0.8,.444,0.5,0.6,.857,0.0,0.5,0.9,0.3,0.0,0.7,0.6,1.9
Monique Billings,ATL,F,29,553,29,2,19.1,1.9,5.0,.389,0.0,0.0,1.000,1.9,4.9,.385,1.6,2.1,.783,2.1,6.9,0.6,0.6,0.4,1.6,2.3,5.5
DeWanna Bonner,PHO,F-G,34,1120,34,34,32.9,5.6,14.8,.377,1.5,5.6,.272,4.1,9.2,.441,4.5,4.9,.916,1.0,7.6,2.7,1.3,0.6,1.6,1.6,17.2
Brittany Boyd,NYL,G,33,649,33,17,19.7,2.2,5.5,.394,0.2,0.7,.304,1.9,4.8,.408,0.8,1.0,.765,0.8,3.7,4.6,1.4,0.1,2.5,2.1,5.3
Imani McGee-Stafford,DAL,C,29,346,29,6,11.9,1.8,3.8,.468,0.0,0.1,.250,1.7,3.6,.476,0.3,0.5,.643,1.5,3.8,0.6,0.6,0.6,1.2,2.0,3.9
Jessica Breland,ATL,F,33,767,33,33,23.2,3.2,8.3,.378,0.3,1.2,.237,2.9,7.2,.401,0.9,1.0,.879,1.3,7.3,1.7,1.3,1.1,1.2,2.0,7.5
Kalani Brown,LAS,C,28,377,28,0,13.5,1.9,4.0,.478,0.0,0.0,.000,1.9,4.0,.482,1.3,1.6,.783,1.2,3.5,0.6,0.3,0.8,1.0,1.7,5.1
Lexie Brown,MIN,G,33,605,33,0,18.3,2.5,6.3,.402,1.6,4.1,.385,1.0,2.2,.432,0.9,1.2,.789,0.2,1.4,1.4,0.9,0.0,1.2,1.3,7.6
Kennedy Burke,IND,G-F,31,423,31,7,13.6,1.5,3.8,.385,0.5,1.3,.350,1.0,2.5,.403,1.0,1.4,.705,0.6,1.5,0.7,0.6,0.3,0.7,1.0,4.4
Liz Cambage,LVA,C,32,807,32,30,25.2,6.1,12.2,.504,0.1,0.4,.167,6.1,11.8,.515,3.6,4.8,.748,2.0,8.2,2.1,0.6,1.6,2.3,2.8,15.9
